study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,all,all,400,200,200,False,-3.1121324,calibration,0.539,0.484724,0.597708,0.516895,0.0,0.01,0.035,0.85,0.89,0.93,0.5075,0.5075,0.5,0.520548,0.19,0.278388,0.019417,0.078,0.314202,0.220602,3.466857,38.097438,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender,G0,200,100,100,False,-3.07696039,calibration,0.5171,0.428527,0.580982,0.51506,0.02,0.02,0.03,0.88,0.89,0.91,0.5,0.5,0.5,0.5,0.2,0.285714,0.0,0.0342,0.325578,0.231206,3.444322,38.161321,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,gender,G1,200,100,100,False,-3.1121324,calibration,0.5642,0.47166,0.636598,0.535135,0.0,0.0,0.03,0.8,0.83,0.95,0.515,0.515,0.5,0.545455,0.18,0.270677,0.040412,0.1284,0.30191,0.241206,3.489393,38.033555,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,ar,100,50,50,False,-1.78040338,calibration,0.5808,0.469722,0.720392,0.548644,0.0,0.0,0.06,0.8,0.84,0.94,0.49,0.49,0.5,0.461538,0.12,0.190476,-0.029735,0.1616,0.294209,0.212323,3.281226,38.203225,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,en,100,50,50,False,-3.59316475,calibration,0.5704,0.46,0.689935,0.548738,0.02,0.02,0.04,0.78,0.82,0.9,0.55,0.55,0.5,0.560976,0.46,0.505495,0.10166,0.1408,0.299461,0.202424,3.690566,43.910537,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,es,100,50,50,False,-3.10713541,calibration,0.4964,0.395425,0.598765,0.520711,0.0,0.0,0.02,0.94,0.96,0.98,0.56,0.56,0.5,0.65,0.26,0.371429,0.15,-0.0072,0.336835,0.302222,3.456451,34.707618,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,language,pt,100,50,50,False,-3.22159965,calibration,0.5184,0.408195,0.66087,0.495817,0.0,0.0,0.02,0.9,0.96,0.98,0.46,0.46,0.5,0.416667,0.2,0.27027,-0.093659,0.0368,0.325724,0.241818,3.439186,35.568369,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,argentina,16,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,australia,16,6,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pilot_training_exposure_pan17,b0d14342438f4ed6,pan17_multilingual,qwen3_4b,balanced,balanced_audit,audit,29,2,finetuning,loss,variety,brazil,56,29,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
