study_name,job_hash,dataset,model,training_variant,evaluation_variant,evaluation_tier,seed,epochs,scenario,attack,dimension,scope,samples,members,nonmembers,suppressed,threshold,threshold_source,auc_roc,auc_ci_low,auc_ci_high,auc_pr,tpr_at_0_1_fpr,tpr_at_1_fpr,tpr_at_5_fpr,fpr_at_90_tpr,fpr_at_95_tpr,fpr_at_99_tpr,accuracy,balanced_accuracy,majority_class_accuracy,precision,recall,f1,mcc,attack_advantage,brier,ece,mean_loss,perplexity,pld_auc_roc,macro_auc_roc,worst_group_auc_roc,max_pairwise_gap,disparity_ratio
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,all,all,41224,20612,20612,False,-3.99528373,calibration,0.500555,0.491262,0.510602,0.495361,0.000194,0.008102,0.044246,0.889142,0.941248,0.986513,0.5041,0.5041,0.5,0.502949,0.699253,0.585074,0.008905,0.00111,0.33306,0.248599,3.529543,43.770165,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,gender,G0,20652,10337,10315,False,-3.99507662,calibration,0.503649,0.48822,0.515833,0.500513,9.7e-05,0.008126,0.050498,0.887252,0.935434,0.986137,0.505859,0.505642,0.500533,0.504539,0.70978,0.589815,0.01236,0.007299,0.331517,0.247446,3.517741,43.347496,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,gender,G1,20572,10275,10297,False,-4.0942,calibration,0.497344,0.480986,0.512149,0.490132,0.000973,0.007981,0.037567,0.892687,0.947558,0.987181,0.502042,0.502306,0.500535,0.501008,0.749489,0.600561,0.005306,-0.005312,0.33467,0.24938,3.541392,44.194477,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,language,ar,10315,5163,5152,False,-2.17487328,calibration,0.4834,0.466973,0.500683,0.491423,0.0,0.009878,0.048809,0.909744,0.963703,0.991654,0.495007,0.495288,0.500533,0.490597,0.232423,0.315416,-0.01108,-0.033199,0.34165,0.262967,2.591566,15.15898,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,language,en,10330,5179,5151,False,-3.48351983,calibration,0.491688,0.474862,0.502491,0.490353,0.0,0.006758,0.04441,0.901378,0.948554,0.988352,0.493804,0.494396,0.501355,0.491415,0.276308,0.353726,-0.012456,-0.016624,0.337506,0.25438,3.640808,42.477841,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,language,es,10290,5147,5143,False,-3.49449562,calibration,0.499932,0.48236,0.514695,0.498365,0.001749,0.008354,0.047989,0.900058,0.94964,0.988139,0.497765,0.497884,0.500194,0.494742,0.191956,0.276596,-0.005351,-0.000136,0.333383,0.2474,3.840177,52.52361,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,language,pt,10289,5123,5166,False,-3.99528373,calibration,0.523525,0.494889,0.550122,0.507071,0.0,0.005075,0.048604,0.872629,0.929539,0.98103,0.516085,0.515638,0.50209,0.517813,0.40855,0.456738,0.032019,0.04705,0.321586,0.231509,4.047518,64.996827,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,variety,argentina,1197,608,589,False,-4.46872205,calibration,0.533914,0.479904,0.575394,0.539639,0.001645,0.019737,0.072368,0.891341,0.928693,0.983022,0.511278,0.504987,0.507937,0.510718,0.901316,0.651993,0.016364,0.067828,0.316506,0.228906,3.952914,57.85499,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,variety,australia,1759,887,872,False,-4.01884832,calibration,0.461865,0.427872,0.505838,0.466029,0.0,0.003382,0.028185,0.908257,0.958716,0.987385,0.487209,0.484641,0.504264,0.494677,0.785795,0.607143,-0.038471,-0.07627,0.352505,0.277419,3.623365,42.18001,,,,,
pilot_model_family_pan17,0f98ced05c862516,pan17_multilingual,olmo2_1b,balanced,balanced_audit,full,29,1,finetuning,loss,variety,brazil,5552,2773,2779,False,-3.98637217,calibration,0.534281,0.49798,0.566576,0.518832,0.0,0.004327,0.062027,0.870817,0.925513,0.980569,0.525937,0.525804,0.50054,0.533619,0.403534,0.459548,0.053226,0.068562,0.31622,0.219606,4.038584,65.888757,,,,,
